Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE0004571,"SEAL;400026343,FLSMIDTH;15 L FILTER",101,GR stock in transit,6/25/2023,,15,EA,15,EA,0,PEN,5005140342,1,012-0012186,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,400,C601,6/25/2023,,,
AE0005195,"BCKT;METAL HANDLE,PLASTIC PE,20L,WHITE",201,GI for cost center,6/25/2023,,-100,EA,-100,EA,-2729.82,PEN,4908901026,1,MARTIN FALCON,12329044,1,WH,6/25/2023,Q001,MELEFTERIU,,0,C601,6/25/2023,,CQ18101111,
AE0006121,"GRSE;511-4462,CATERPILLAR",261,GI for order,6/25/2023,,-8,CY,-8,CY,-133707.7,PEN,4908900644,1,,12183435,1,,6/25/2023,Q005,JOMOLINA1,,0,C601,6/25/2023,4008102763,,
AE0007519,"CNCTR;RS117,KONNX ELECTRICA LTDA",101,GR stock in transit,6/25/2023,,15,EA,15,EA,0,PEN,5005140470,1,EG07-00000162,0,0,80112970,6/25/2023,Q001,AOP_OUTSYS,4502773185,170,C601,6/25/2023,,,
AE0008203,"CONTCT;RS637,KONNX ELECTRICA LTDA;8.7KV",101,GR stock in transit,6/25/2023,,10,EA,10,EA,0,PEN,5005140473,1,EG07-00000164,0,0,80112970,6/25/2023,Q001,AOP_OUTSYS,4502773185,160,C601,6/25/2023,,,
AE0008270,"STUD CONTNUS THRD;UNC,7/8IN,180CM,SS",261,GI for order,6/25/2023,,-4,EA,-4,EA,-764.63,PEN,4908900443,1,RENATO ZAVALETA,9627578,109,WH,6/25/2023,Q001,MELEFTERIU,,0,C601,6/25/2023,4006155986,,
AE0008280,"STUD CONTNUS THRD;UNC,1-1/4IN,180CM,SS",261,GI for order,6/25/2023,,-5,EA,-5,EA,-5652.13,PEN,4908900443,4,RENATO ZAVALETA,9627578,112,WH,6/25/2023,Q001,MELEFTERIU,,0,C601,6/25/2023,4006155986,,
AE0008535,"BCKT;PLASTIC PE,1GAL,WHITE",201,GI for cost center,6/25/2023,,-100,EA,-100,EA,-583.02,PEN,4908901026,2,MARTIN FALCON,12329044,2,WH,6/25/2023,Q001,MELEFTERIU,,0,C601,6/25/2023,,CQ18101111,
AE0008604,"VALVE BALL;BA-10,NIBCO;SW SS RTFE 3-P HO",101,GR stock in transit,6/25/2023,,3,EA,3,EA,0,PEN,5005140341,1,008-0001869,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,440,C601,6/25/2023,,,
AE0008764,"PLATE;02524826,KSB;SUCTION,STL",641,TF to stck in trans.,6/25/2023,,-1,EA,-1,EA,0,PEN,4908901032,7,,0,0,80115035,6/25/2023,Q009,BTP_TM_PROD,4502780938,100,C601,6/25/2023,,,
AE0008764,"PLATE;02524826,KSB;SUCTION,STL",641,TF to stck in trans.,6/25/2023,,1,EA,1,EA,0,PEN,4908901032,8,,0,0,80115035,6/25/2023,,BTP_TM_PROD,4502780938,100,C601,6/25/2023,,,
AE0008765,"KEY;02532015,KSB;28X16X 200MM",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901032,4,,0,0,80115035,6/25/2023,,BTP_TM_PROD,4502780938,20,C601,6/25/2023,,,
AE0008765,"KEY;02532015,KSB;28X16X 200MM",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901032,3,,0,0,80115035,6/25/2023,Q009,BTP_TM_PROD,4502780938,20,C601,6/25/2023,,,
